Id,IsDeleted,CaseNumber,ContactId,AccountId,EntitlementId,SourceId,BusinessHoursId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,RecordTypeId,Status,Reason,Origin,Language,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,HasCommentsUnreadByOwner,HasSelfServiceComments,OwnerId,SlaStartDate,SlaExitDate,IsStopped,StopStartDate,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,DB_Case_Duration_Hours__c,DB_Hours__c,DateTime_Closed_c__c,DateTime_Opened_c__c,external_id__c,Source__c,Indicator__c,Duration__c,Payment_Billing__c,Last_Payment__c
Was the payment for my contributions last quarter correct?",,,,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(344) 555-0197,(344) 555-0144,contact+treseller@sdo.mygbiz.com,(344) 555-0182,1,,,,,,,,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",,,
5008c00001IXiovAAD,,00001009,0038c00002jgbCiAAI,0018c00002GzxPBAAZ,,,01m8c000001II9NAAW,,,,,,Installation,0128c000002iLr9AAE,Closed,Problem Resolved,Phone,,Missing from box,Medium,My boardroom came without the charging cable,1,2019-10-27T21:14:22.000+0000,,,,0058c00000BxzHlAAJ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(344) 555-0197,(344) 555-0144,contact+treseller@sdo.mygbiz.com,(344) 555-0182,1,,,,,,,,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Closed.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",,,
5008c00001IXiowAAD,,00001010,0038c00002jgbChAAI,0018c00002GzxPAAAZ,,,01m8c000001II9NAAW,,,,,,Billing Issue,0128c000002iLr9AAE,Escalated,Problem Resolved,Phone,,Billing Issue,High,I think my bill is wrong,,,1,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(276) 555-0197,(276) 555-0144,lauren.boyle@mailinator.com,(276) 555-0182,1,,,,,,,,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Escalated.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",,,
5008c00001IXioxAAD,,00001012,0038c00002jgbChAAI,0018c00002GzxPDAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,Closed in Portal,Problem Resolved,Portal,,Battery does not last for long,Critical,Short battery life issues. 44mins unplugged life span.,,,,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(276) 555-0197,(276) 555-0144,lauren.boyle@mailinator.com,(276) 555-0182,1,,,,,,,,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Responded.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",,,
5008c00001IXioyAAD,,00001013,0038c00002jgbCrAAI,0018c00002GzxPDAAZ,,,01m8c000001II9NAAW,,,,,,Installation,0128c000002iLr9AAE,New,Problem Resolved,Phone,,Speaker producing static sounds,Low,Sound issues,,,,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(747) 555-0100,(747) 555-0188,markmetz@mailinator.com,(747) 555-0199,1,,,,72,-24,2021-07-26T14:07:21.000+0000,2021-07-23T14:07:21.000+0000,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",24,,
5008c00001IXiozAAD,,00001015,0038c00002jgbDXAAY,0018c00002GzxPMAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,New,,Phone,,"Stand came broken, mishandled during shipping",Critical,There is a large chip out of one of the corners,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(319) 555-0197,,bbronze@mailinator.com,(319) 555-0182,1,,,,,,,,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",,,
5008c00001IXip0AAD,,00001017,0038c00002jgbEKAAY,0018c00002GzxPXAAZ,,,01m8c000001II9NAAW,,,,,,Installation,0128c000002iLr9AAE,Escalated,Feature Request,Website,,Customer having trouble resetting password,Low,Can't find where to reset my password,,,1,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(261) 555-0100,(261) 555-0188,contact+bonniebarra@sdo.mygbiz.com,(261) 555-0199,1,,,,,,,,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Escalated.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",,,
5008c00001IXip1AAD,,00001019,0038c00002jgbD4AAI,0018c00002GzxPsAAJ,,,01m8c000001II9NAAW,,,,,,Usage,0128c000002iLr9AAE,Escalated,,Phone,,reset password issue,High,trouble with my password. i want to reset it.,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(643) 555-0100,(643) 555-0188,contact+tomdavis@sdo.mygbiz.com,(643) 555-0199,1,,,,,-113,,2021-07-19T21:07:21.000+0000,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Escalated.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2069.99,,
5008c00001IXip2AAD,,00001021,0038c00002jgbD5AAI,0018c00002GzxPXAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue - Advanced,0128c000002iLr9AAE,On Hold,,Twitter,,Need information,Medium,I just became in charge of your product at my company. Can you send me some general information about your product?,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(266) 555-0100,(266) 555-0188,contact+ryangiggs@sdo.mygbiz.com,(266) 555-0199,1,,,,,-50,,2021-07-22T12:07:21.000+0000,,"<img src=""/resource/Case_Source/twitter_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Researching.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2048.99,,
5008c00001IXip3AAD,,00001022,0038c00002jgbD7AAI,0018c00002GzxPUAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,New,,Portal,,Cable Wire appears damaged,Medium,How can I get a new wire?,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(611) 555-0100,(611) 555-0188,contact+rachelmorris@sdo.mygbiz.com,(611) 555-0199,1,,,,,-2,,2021-07-24T12:07:21.000+0000,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2032.99,,
5008c00001IXip4AAD,,00001025,0038c00002jgbE0AAI,0018c00002GzxPFAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,Escalated,,Website,,Speaker Issue,High,Sound issues,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(226) 555-0100,(226) 555-0188,contact+robertfontana@sdo.mygbiz.com,(226) 555-0199,1,,,,,-28,,2021-07-23T10:07:21.000+0000,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Escalated.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2041.66,,
5008c00001IXip5AAD,,00001026,0038c00002jgbD0AAI,0018c00002GzxPlAAJ,,,01m8c000001II9NAAW,,,,,,Installation,0128c000002iLr9AAE,New,,Portal,,Processor issues,Critical,I'm having some trouble updating data in the system. Can you help?,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(904) 555-0100,(904) 555-0188,contact+lisajones@sdo.mygbiz.com,(904) 555-0199,1,,,,,-40,,2021-07-22T22:07:21.000+0000,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2045.66,,
5008c00001IXip6AAD,,00001027,0038c00002jgbEGAAY,0018c00002GzxPjAAJ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,Escalated,,Website,,Can't get into my account,Medium,What's the deal? I can't get into my account.,,,1,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(935) 555-0100,(935) 555-0188,contact+ronreid@sdo.mygbiz.com,(935) 555-0199,1,,,,,-25,,2021-07-23T13:07:21.000+0000,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Escalated.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2040.66,,
5008c00001IXip7AAD,,00001028,0038c00002jgbD6AAI,0018c00002GzxPzAAJ,,,01m8c000001II9NAAW,,,,,,Billing Issue,0128c000002iLr9AAE,New,New problem,Portal,,Wrong invoice,Low,I received a different customer's invoice.,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(296) 555-0100,(296) 555-0188,contact+sarahjeffries@sdo.mygbiz.com,(296) 555-0199,1,,,,,-40,,2021-07-22T22:07:21.000+0000,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2045.66,,
5008c00001IXip8AAD,,00001029,0038c00002jgbD9AAI,0018c00002GzxQ0AAJ,,,01m8c000001II9NAAW,,,,,,Billing Issue,0128c000002iLr9AAE,New,New problem,Email,,I received the wrong invoice,Low,Got the wrong invoice,,,,,,0058c00000BxzIDAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(575) 555-0100,(575) 555-0188,contact+derekrose@sdo.mygbiz.com,(575) 555-0199,1,,,,,-10,,2021-07-24T04:07:21.000+0000,,"<img src=""/resource/Case_Source/email_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2035.66,,
5008c00001IXip9AAD,,00001030,0038c00002jgbD1AAI,0018c00002GzxPxAAJ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,New,,Twitter,,Difficulty upgrading software patch for Soundcore Processor,Medium,Trying to update software patch,,,,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(487) 555-0100,(487) 555-0188,contact+jeffblay@sdo.mygbiz.com,(487) 555-0199,1,,,,,-8,,2021-07-24T06:07:21.000+0000,,"<img src=""/resource/Case_Source/twitter_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2034.99,,
5008c00001IXipAAAT,,00001031,0038c00002jgbD8AAI,0018c00002GzxPQAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,New,,Email,,Changing my password,Low,I want to change my password but am unsure how to do it.,,,,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(655) 555-0197,(655) 555-0144,abowden@example.com,(655) 555-0182,1,,,,,-6,,2021-07-24T08:07:21.000+0000,,"<img src=""/resource/Case_Source/email_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2034.33,,
5008c00001IXipBAAT,,00001035,0038c00002jgbE8AAI,0018c00002GzxPYAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLrIAAU,Closed - First Call,Problem Resolved,Phone,,Having trouble with the remote control,High,I'm having trouble with the remote. It doesn't activate when I press the 'on' button.,1,,,,,0058c00000BxzICAAZ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(689) 555-0100,(689) 555-0188,contact+judy@sdo.mygbiz.com,(689) 555-0199,1,,,,1,-50,2021-07-22T13:07:21.000+0000,2021-07-22T12:07:21.000+0000,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Responded.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",0.33,,
5008c00001IXipCAAT,,00001036,0038c00002jgbCoAAI,0018c00002GzxQ6AAJ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLrIAAU,Working,,Phone,,Issue with remote control,High,Having an issue with the remote. It doesn't activate. Please help!,,,,,,0058c00000BxzHlAAJ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(237) 555-0100,(237) 555-0188,contact+seanforbes@sdo.mygbiz.com,(237) 555-0199,1,,,,,-40,,2021-07-22T22:07:21.000+0000,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Responded.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2045.66,,
5008c00001IXipDAAT,,00001037,0038c00002jgbDVAAY,0018c00002GzxPGAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLrIAAU,Working,,Email,,Can't figure out assembly instructions,Medium,These assembly instructions are way too complex. I need some help.,,,,,,0058c00000BxzHlAAJ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(925) 555-0100,(925) 555-0188,contact+erinwalsh@sdo.mygbiz.com,(925) 555-0199,1,,,,,-75,,2021-07-21T11:07:21.000+0000,,"<img src=""/resource/Case_Source/email_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Responded.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2057.33,,
5008c00001IXipEAAT,,00001038,0038c00002jgbDQAAY,0018c00002GzxPHAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLrIAAU,Waiting on customer,,Portal,,Assembly instruction help,Low,Need some help with the assembly instructions,,,,,,0058c00000BxzHlAAJ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(699) 555-0100,(699) 555-0188,contact+edhennessy@sdo.mygbiz.com,(699) 555-0199,1,,,,,-35,,2021-07-23T03:07:21.000+0000,,"<img src=""/resource/Case_Source/website_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Responded.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2043.99,,
5008c00001IXipFAAT,,00001047,0038c00002jgbE0AAI,0018c00002GzxPFAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue,0128c000002iLr9AAE,New,,Phone,,Performance and scaling,Low,How does scaling affect performance with your product?,,,,,,00G8c000007zEblEAE,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(226) 555-0100,(226) 555-0188,contact+robertfontana@sdo.mygbiz.com,(226) 555-0199,1,,,,,-1,,2021-07-24T13:07:21.000+0000,,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-New.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",2032.66,,
5008c00001IXipHAAT,,00001050,0038c00002jgbCrAAI,0018c00002GzxPDAAZ,,,01m8c000001II9NAAW,,,,,,Technical Issue - Advanced,0128c000002iLr9AAE,Closed,Problem Resolved,Phone,,What are your support hours?,Low,Can I call on Saturdays?,1,2019-10-27T21:14:22.000+0000,,,,0058c00000BxzHlAAJ,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,(747) 555-0100,(747) 555-0188,markmetz@mailinator.com,(747) 555-0199,1,,,,60,-1000,2021-06-15T10:07:21.000+0000,2021-06-12T22:07:21.000+0000,Case.003,"<img src=""/resource/Case_Source/phone_icon.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>","<img src=""/resource/Case_Indicator/Status-Closed.png"" alt="" "" style=""height:18px; width:18px;"" border=""0""/>",20,,
